Food_Name,Category,Quantity,Calorie,Protein,Carbohydrate,Fat,Diabetes_Type1,Diabates_Type2,Dyslipidemia_HighColestrol,Dyslipidemia_LowColestrol,CKD
Buckwheat,Breakfast Cereals,100 g,343,13,72,3.4,no,yes,yes,no,yes
Buckwheat flour whole-groat,Grains and pasta100gm,100 g,335,13,71,3.1,no,yes,yes,no,yes
Pancakes Buckwheat Dry Mix Incomplete,Baked Foods,100 g,340,2.7,10.9,71.3,no,yes,yes,no,yes
Snacks Rice Cakes Brown Rice Buckwheat Unsalted,Snacks,100 g,380,3.5,9,80.1,no,yes,yes,no,yes
Bread and oatmeal,Breakfast Cereals,100 g,269,17,18,6,no,yes,yes,no,no
Okra,Vegetables,100 g,33,4,3,0,yes,yes,yes,no,yes
Okra without salt drained boiled cooked frozen,Vegetables,100 g ,29,3,2,0,yes,yes,yes,no,yes
Barley,Grain,100 g,332,20,28,2,yes,yes,yes,no,yes
Babyfood dry fortified barley cereal,Grain,100 g,376,26,25,8,yes,yes,yes,no,yes
Celery,Vegetables,100 g,14,1,1,0,yes,no,yes,no,yes
Celery with salt drained boiled cooked,Vegetables,100 g,18,2,1,0,yes,no,yes,no,yes
Soup condensed canned cream of celery,Vegetables,100 g,72,3,3,6,yes,no,yes,no,yes
Cabbage,Vegetables,100 g,25,3,2,0,yes,yes,yes,no,yes
"Cabbage pickled fresh japanese style
",Vegetables,100 g,30,3,2,0,yes,yes,yes,no,yes
"Cabbage kimchi
",Vegetables,100 g,15,2,1,1,yes,yes,yes,no,yes
Eggplant,Fruits,100 g,25,2,2,0,yes,yes,yes,no,yes
ggplant with salt drained boiled cooked,Fruits,100 g,33,2,3,0,yes,yes,yes,no,yes
Avocado,Fruits,100 g,120,4,3,13,yes,yes,yes,no,no
Oil avocado,Fruits,100 g,884,0,0,128,no,no,yes,yes,no
Garlic,Vegetables,100 g,149,13,12,1,yes,yes ,yes,no,yes
Fast foods prepared with garlic and parmesan cheese soft breadstick,Fast foods,100 g,343,24,16,17,no,no,no,no,no
Lutein,Vegetables,100 g,371,72,15,12,no,no,yes,no,no
Lupins with salt boiled cooked mature seeds,,100 g,116,32,3,4,no,no,yes,no,no
Nuts,Fruit,100 g,387,12,15,31,no,yes,yes,no,no
Seeds,Seeds,100 g,89,8,6,1,no,no,yes,no,no
Mixed Beans,Vegetables,100 g,37,3,1,0,yes,yes,yes,no,no
Salmon Fish ,Fish,100 g,127,42,0,6,no,no,yes,no,yes
Fish Herring Atlantic Raw,Fish,100 g,158,17.96,0,9.04,no,no,yes,no,yes
Atlantic Herring,Fish,100 g,203,23.03,0,11.59,no,no,yes,no,yes
Pickled Herring,Fish,100 g,262,14.19,9.64,18,no,no,yes,no,yes
Fish Tuna Light Canned In Water Without Salt Drained Solids,Fish,100 g,116,25.51,0,0.82,yes,yes,yes,no,yes
Fish Tuna White Canned In Oil Without Salt Drained Solids,Fish,100 g,186,26.53,0,8.08,yes,yes,yes,no,yes
Fish Tuna White Canned In Water Without Salt Drained Solids,Fish,100 g,128,23.62,0,2.97,yes,yes,yes,no,yes
Sardine Oil,Fats and Oils,100 g,902,0,0,100,yes,yes,yes,no,yes
Canned Sardines,Fish,100 g,208,24.62,0,11.45,yes,yes,yes,no,yes
Sardines Dried,Fish,100 g,406,46.06,0,23.18,yes,yes,yes,no,yes
Tomatoes Raw Green,Vegetables,100 g,23,1.2,5.1,0.2,no,no,yes,no,no
Tomatoes Raw Orange,Vegetables,100 g,16,1.2,3.2,0.2,no,no,yes,no,no
Tomatoes Sun Dried,Vegetables,100 g,258,14,56,3,no,no,yes,no,no
Tomatoes Canned Crushed,Vegetables,100 g,32,1.6,7.3,0.3,no,no,yes,no,no
Butter Clarified,Dairy,100 g,900,0,0,100,yes,yes,no,yes,no
Butter Without Salt,Dairy,100 g,717,0.9,0.1,81,yes,yes,no,yes,no
Butter Stick Light,Dairy,100 g,499,3.3,0,55,yes,yes,no,yes,no
Salted Butter,Dairy and Egg Products,100 g,717,0.85,0.06,81.11,yes,yes,no,yes,no
Whipped Butter (Salted),Dairy and Egg Products,100 g,731,0.49,0,78.3,yes,yes,no,yes,no
Lasagna Cheese Frozen Unprepared,Prepared Meals,100 g,145,5.06,21.61,4.22,yes,yes,no,yes,no
Mozzarella Cheese (Non-Fat Or Fat Free),Dairy and Egg Products,100 g,141,31.7,3.5,0,yes,yes,no,yes,no
Cheese Swiss Low Fat,Dairy and Egg Products,100 g,179,28.4,3.4,5.1,yes,yes,no,yes,no
Fontina Cheese,Dairy and Egg Products,100 g,389,25.6,1.55,31.14,yes,yes,no,yes,no
Monterey Cheese,Dairy and Egg Products,100 g,373,24.48,0.68,30.28,yes,yes,no,yes,no
Mozzarella,Dairy and Egg Products,100 g,299,22.17,2.4,22.14,yes,yes,no,yes,no
Mozzarella (Hard),Dairy and Egg Products,100 g,318,21.6,2.47,24.64,yes,yes,no,yes,no
Mozzarella (Lowfat),Dairy and Egg Products,100 g,254,24.26,2.77,15.92,yes,yes,no,yes,no
Caraway Cheese,Dairy and Egg Products,100 g,376,25.18,3.06,29.2,yes,yes,no,yes,no
Cheddar Cheese,Dairy and Egg Products,100 g,403,22.87,3.37,33.31,yes,yes,no,yes,no
Chesire Cheese,Dairy and Egg Products,100 g,387,23.37,4.78,30.6,yes,yes,no,yes,no
Colby Cheese,Dairy and Egg Products,100 g,394,23.76,2.57,32.11,yes,yes,no,yes,no
Lowfat Cottage Cheese (1%),Dairy and Egg Products,100 g,72,12.39,2.72,1.02,yes,yes,no,yes,no
Cream Cheese,Dairy and Egg Products,100 g,350,6.15,5.52,34.44,yes,yes,no,yes,no
Edam Cheese,Dairy and Egg Products,100 g,357,24.99,1.43,28.57,yes,yes,no,yes,no
Feta Cheese,Dairy and Egg Products,100 g,265,14.21,3.88,21.49,yes,yes,no,yes,no
Beef Retail Cuts Separable Fat Raw,Meats,100 g,674,8.21,0,70.89,no,no,no,yes,yes
Beef Retail Cuts Separable Fat Cooked,Meats,100 g,680,10.65,0,70.33,no,no,no,yes,yes
Beef Grass-Fed Ground Raw,Meats,100 g,198,19.42,0,12.73,no,no,no,yes,yes
Beef Rib Shortribs Separable Lean Only Choice Raw,Meats,100 g,175,19.05,0.4,10.19,no,no,no,yes,yes
Beef Ground 70% Lean Meat / 30% Fat Patty Cooked Broiled,Meats,100 g,277,25.38,0,18.66,no,no,no,yes,yes
Beef Ground 70% Lean Meat / 30% Fat Raw,Meats,100 g,332,14.35,0,30,no,no,no,yes,yes
Egg Yolk,Meats,100 g,322,16,3.6,27,yes,yes,no,yes,yes
Muffin Whole Wheat,Baked Foods,100 g,355,7.2,44.46,17.86, no,no,no,yes,no
Muffin Wheat,Baked Foods,100 g,360,6.61,45.76,17.4, no,no,no,yes,no
Muffin Whole Grain,Baked Foods,100 g,360,6.61,45.76,17.4, no,no,no,yes,no
Muffin Wheat Bran,Baked Foods,100 g,215,6.22,39.09,5.83, no,no,no,yes,no
Muffin Oatmeal,Baked Foods,100 g,362,6.33,43.96,18.29, no,no,no,yes,no
Muffin Plain,Baked Foods,100 g,368,5.77,51.88,15.62, no,no,no,yes,no
Muffin Cheese,Baked Foods,100 g,360,9.5,30.32,22.28, no,no,no,yes,no
Muffin Pumpkin,Baked Foods,100 g,300,4.84,43.08,12.45, no,no,no,yes,no
Muffin Zucchini,Baked Foods,100 g,300,4.92,42.51,12.66, no,no,no,yes,no
